Model,R2,MAE,RAE,Accuracy,F1_macro
Fundamental,-2.370945162748857,0.044781034064590525,1.2825870387737033,0.5138625419524296,0.230121897660406
Technical,0.005668378312534306,0.034665886124174074,0.992876050301573,0.5236392820662483,0.3057229844252441
Sentiment,-0.20587403390739234,0.03941611299896512,1.1289287241199981,0.5134247774697213,0.22616464992206206
Fund+Tech,-4.367219371941641,0.04893922623303873,1.4016830688539714,0.5132788559754852,0.3283011150225427
Fund+Sent,-0.3723910748261834,0.036733704137255394,1.052101046720716,0.5137895812053116,0.24002079930337014
Tech+Sent,0.00129320788208942,0.034859653034661646,0.9984257865487558,0.5197723624689917,0.318085022265524
All,-112.73470284369952,0.10017969766131489,2.869276792120134,0.5134612578432803,0.25063304820761906
