Model,R2,MAE,RAE
Fundamental,-0.4287394215241518,0.030657898186983293,1.1127647263935503
Technical,-0.07761892677349946,0.028962848257945158,1.0547206337147892
Sentiment,-0.025351623031469206,0.02800113163518949,1.025508220651965
Fund+Tech,-1.1283027002900634,0.033912385929507516,1.2303955452884616
Fund+Sent,-0.34382101603423454,0.029512649536510567,1.0711965701741213
Tech+Sent,-0.1656529817109207,0.030559222516866064,1.1128547251901728
All,-0.9986083239701429,0.0367308793050807,1.3326549882229342
