Rank,Model,Accuracy,AUC,Precision,Recall,F1,AP
1,Technical,0.532441256265232,0.5478721007284325,0.5245950217305413,0.49793737108569286,0.5109187109187109,0.541415070026248
2,Tech+Sent,0.5379132753943072,0.5477532496715076,0.534651241154667,0.44627789236827303,0.4864837242577546,0.5425341625185649
3,Fund+Tech,0.5293603715455005,0.5393783833355842,0.5211129616929558,0.4986874179636227,0.5096536195084559,0.5349959120680117
4,Fundamental,0.5198418172621511,0.5203288907501489,0.5105085381872771,0.5101256328520533,0.5103170136934909,0.5053146340331125
5,All,0.5144157814871017,0.5195793980648743,0.5057421451787649,0.4376523532720795,0.4692400482509047,0.5234738470557447
6,Fund+Sent,0.5086218788798454,0.5178165493027639,0.4989724619810933,0.45527845490343144,0.4761251103049319,0.5057312500719578
7,Sentiment,0.5037016599990803,0.5056907970835354,0.49138749491387496,0.33967747984249014,0.40168523754088364,0.4924819994736229
