Model,Accuracy,F1_macro
Fundamental,0.595286735736174,0.24876896104886045
Technical,0.5947395301327886,0.26033067122624604
Sentiment,0.595286735736174,0.24876896104886045
Fund+Tech,0.592550707719247,0.2660298171669385
Fund+Sent,0.5902524441850284,0.2540454344024265
Tech+Sent,0.5964905880636218,0.27433002831748715
All,0.5929155114548373,0.26699056752836586
