Model,Accuracy,F1_macro
Fundamental,0.47746413697362333,0.2388597290213396
Technical,0.5085963795142363,0.3401416011936564
Sentiment,0.47346109688245164,0.2626500559077054
Fund+Tech,0.5122267506483883,0.34826107053167404
Fund+Sent,0.4799629801018047,0.24132220872626164
Tech+Sent,0.5014099881742927,0.3430074047693275
All,0.5007410151908114,0.3407987239887497
