Model,Acc_cls,F1_macro,R2,MAE,RAE
Fundamental,0.5154427545021928,0.2319066363260103,-0.009946390372873148,0.07153408094777657,0.9970636084205753
Technical,0.540263133339554,0.35599063117990176,-0.039634777743559724,0.07200723619620475,1.0036585890660294
Sentiment,0.5141364187739106,0.22637168505166286,-2.6440641361521386,0.11348550967792911,1.581795282524576
Fund+Tech,0.5322384995801064,0.344031787621569,-0.03658158134270595,0.07174802883288822,1.0000456786102954
Fund+Sent,0.5171223290099841,0.24177989656006424,-1.1410376958046293,0.09045601378574052,1.260803218739823
Tech+Sent,0.5309321638518242,0.3506515312708241,-0.24594889966460998,0.07781154461751946,1.0845607915164528
All,0.5215078846692172,0.34227779707733386,-0.38168579666900926,0.07719180880052112,1.0759227266699225
