Model,Accuracy,AUC,Precision,Recall,F1,AP
General,0.5390168758909275,0.5568027419185047,0.5647082576216435,0.262235139696231,0.35815353095588703,0.544997472583012
Fundamental,0.5121166137858095,0.5142463640689031,0.5026809651474531,0.4922182636414776,0.4973945997157745,0.49980695333925196
Technical,0.5348323906745758,0.549088092484618,0.5292989558917537,0.46577911119444965,0.4955116696588869,0.5519574021948255
Sentiment,0.4977698073297466,0.4987815122616267,0.4900218272528843,0.5893493343333959,0.5351153485996425,0.48879544651279133
Fund+Tech,0.5263714535338208,0.5329477263658281,0.5204560697518444,0.4365272829551847,0.47481133999592084,0.5244755499803462
Fund+Sent,0.5164390490642388,0.5191700992908483,0.5081203984408835,0.43999624976561036,0.47161089337755,0.507507742097704
Tech+Sent,0.528348737756932,0.538451206331882,0.5232836160765114,0.43090193137071064,0.4726207002930742,0.5287344046858216
All,0.5142778314250241,0.5161462295616921,0.5058702838253734,0.4160885055315957,0.45660785019805544,0.5110362072191241
