mack,nam,quy,eps,roe,roa,pb,pe,lnst_yoy,nophaitra_vcsh,vonhoa_tts
PAN,2021,1,107.2621584,0.008197535,0.004310778,3.054452366,263.8395538,0.750248322,0.9592721,0.495575154
PAN,2021,2,288.7427426,0.017605003,0.009014362,2.840402719,93.85517278,0.641370475,0.946870083,0.465984198
PAN,2021,3,185.2615532,0.011670733,0.006109847,2.861322297,151.1376727,-0.123319761,0.873650784,0.497304968
PAN,2021,4,832.5167367,0.040126929,0.020679002,3.293267611,46.24531652,0.834046237,0.995806205,0.531668862
PAN,2022,1,369.9644211,0.022076711,0.011095741,2.529412024,85.8190631,2.348443544,0.983571619,0.436486026
PAN,2022,2,474.4751297,0.030824361,0.01585542,1.573326088,43.62715495,1.11022619,0.902073594,0.315818637
PAN,2022,3,265.5661185,0.01960634,0.010162386,1.658975116,83.97155527,0.944743411,0.956186327,0.326571793
PAN,2022,4,680.2189913,0.033621401,0.016807741,1.171753742,21.97821612,-0.082686181,1.041230599,0.194195658
PAN,2023,1,191.6386498,0.013554005,0.006659422,1.295730963,87.14317294,-0.364744588,1.029403288,0.217865671
PAN,2023,2,298.0066361,0.019855391,0.008719314,1.506799881,66.10591046,-0.31701277,1.525750516,0.207170922
PAN,2023,3,473.1543009,0.02428781,0.009845548,1.496538522,43.00922545,0.358236567,1.409178043,0.219927328
PAN,2023,4,980.3869721,0.044102911,0.018265771,1.38900133,20.60410896,0.415188512,1.419639961,0.209017463
PAN,2024,1,400.143978,0.020018354,0.008413489,1.656121378,62.10264647,0.577257812,1.339718387,0.261134057
PAN,2024,2,444.8778499,0.02468411,0.009633888,1.632409631,53.94739253,0.330981872,1.788043839,0.21481334
PAN,2024,3,894.0622653,0.040283021,0.014611699,1.510502911,26.39637184,0.781538361,1.726918939,0.207929832
PAN,2024,4,1175.728646,0.050884225,0.018784899,1.454019537,20.2002393,0.23747318,1.690985503,0.208100438
PAN,2025,1,515.4410064,0.021744987,0.007813272,1.589847042,51.99431102,0.152208326,1.873715441,0.21639376
PAN,2025,2,665.5322958,0.029342142,0.011324317,1.611640972,41.77107584,0.26686211,1.307513195,0.28045578
PAN,2025,3,747.7109925,0.030220735,0.013804455,1.885537921,42.1954476,-0.225028951,1.066540628,0.368466998
PC1,2020,1,572.344181,0.023624996,0.010386958,0.456903156,17.64672436,-0.03684873,1.297998515,0.184648684
PC1,2020,2,768.472364,0.031838893,0.014212233,0.716824869,21.79648974,-0.104489235,1.18897241,0.285407664
PC1,2020,3,999.6877105,0.039659576,0.018166535,0.872090082,21.25663823,1.143560837,1.177742561,0.333424243
PC1,2020,4,691.93789,0.030452812,0.013747855,1.06918894,32.15606534,1.515968286,1.251664692,0.396679601
PC1,2021,1,409.8449361,0.016120699,0.006859464,1.31898074,68.3185213,-0.096367661,1.441170457,0.425634283
PC1,2021,2,1714.333264,0.062157311,0.0239735,1.501158044,15.45790458,1.662768444,1.72632295,0.317847253
PC1,2021,3,752.5696144,0.026326348,0.009271697,2.096360586,51.42381417,-0.117183712,1.949006667,0.415721385
PC1,2021,4,599.8520988,0.030197252,0.010163009,2.473852051,65.59950374,0.295727424,1.992703367,0.492302226
PC1,2022,1,565.7013139,0.028232991,0.009455336,2.850552358,83.34787076,1.245987426,1.979322135,0.578406731
PC1,2022,2,270.6901657,0.010479755,0.003488531,2.364993543,145.9232917,-0.801713719,2.028542011,0.471775258
PC1,2022,3,243.3047864,0.000681341,0.000217079,2.196538158,133.5773146,-0.971570845,2.247970194,0.413082344
PC1,2022,4,729.7268311,0.041565837,0.013256206,1.432215941,27.68159144,0.533792736,2.032926757,0.25110981
PC1,2023,1,54.21825385,0.010996316,0.003730744,1.976530932,518.275636,-0.558601874,1.862804263,0.366791381
PC1,2023,2,-46.57710702,-0.002899741,-0.001025586,1.911117821,-573.242988,-1.306025913,1.791156493,0.365935829
PC1,2023,3,235.2854733,0.014175253,0.005093072,2.165504837,131.3298248,21.64369231,1.775402319,0.421919224
PC1,2023,4,238.8360428,0.019972213,0.007185993,2.268770161,120.5848148,-0.495591179,1.783176311,0.442637098
PC1,2024,1,259.0104067,0.017651913,0.006350916,2.18821447,109.8411464,0.629251472,1.775722458,0.433407628
PC1,2024,2,511.1391096,0.02575914,0.009031694,2.18419348,56.24691881,NULL,1.928009003,0.412837856
PC1,2024,3,513.1572397,0.034438437,0.012122682,2.114101419,56.51289265,1.569365905,1.756273512,0.429033077
PC1,2024,4,191.4768585,0.017234264,0.006294389,1.882594372,119.5966979,-0.081010105,1.720009366,0.390229808
PC1,2025,1,154.568706,0.018721934,0.006824825,1.827909252,146.2132963,0.124393867,1.766196815,0.375164111
PC1,2025,2,396.7304989,0.02098103,0.007504506,1.729463762,55.20120097,-0.133794844,1.824969849,0.35099035
PC1,2025,3,841.2604125,0.048548224,0.017206283,1.890120496,30.43052974,0.52476536,1.818296319,0.389039343
PDR,2020,1,482.4104191,0.037192368,0.011525018,2.00912008,51.6158006,0.032520916,2.252750994,0.60680398
PDR,2020,2,326.5628081,0.028884838,0.008706865,2.143399242,73.79897344,0.369813567,2.380647322,0.623173415
PDR,2020,3,1185.979888,0.092078037,0.029520359,3.108834448,32.5469263,1.734010977,1.910080374,0.926932457
PDR,2020,4,1265.913619,0.095597844,0.032343912,3.999736278,40.68208069,0.065820097,2.002174663,1.308584311
PDR,2021,1,635.4357759,0.041633655,0.01523733,4.614732999,97.57083618,0.588239312,1.528297763,1.41461454
PDR,2021,2,516.7724731,0.03601466,0.013912176,8.149327095,180.737181,1.076472248,1.647401936,2.428988439
PDR,2021,3,1248.859633,0.081862448,0.031624266,6.438362444,65.49975499,0.38311487,1.535029636,2.023668279
PDR,2021,4,1529.720324,0.094487465,0.037360468,6.659746353,62.23359821,0.498473619,1.523402381,2.282608148
PDR,2022,1,572.381471,0.033797864,0.013276644,6.048824383,156.364251,0.112786554,1.567276544,2.047922541
PDR,2022,2,614.2914318,0.047544506,0.018135375,4.517880756,84.32479653,0.627744626,1.673488457,1.479326675
PDR,2022,3,1068.642563,0.074088674,0.028842874,4.077000283,47.81767242,0.171508575,1.48007937,1.330406138
PDR,2022,4,-409.6306176,-0.024259126,-0.009806439,1.121766924,-33.20064325,-1.317373784,1.466737442,0.399871751
PDR,2023,1,35.80840204,0.002563243,0.001006182,1.025522759,349.0800842,-0.919685864,1.638166586,0.385846567
PDR,2023,2,410.4162169,0.032881645,0.013007814,1.333448329,40.93405501,-0.325121455,1.421062491,0.546881237
PDR,2023,3,151.3955812,0.011860938,0.004933001,1.878406529,158.1948417,-0.857034454,1.387943846,0.781220993
PDR,2023,4,382.6003175,0.031059383,0.013571005,2.16193294,72.79136668,NULL,1.199286015,0.976649662
