,count,mean,std,min,25%,median,75%,max,missing,skew,kurtosis
roe,120283.0,0.037586958102990446,0.03313204391708174,-0.151059381,0.015980816,0.032548189,0.053613932,0.282975875,396,1.2344749812114673,6.435237321477349
roa,120283.0,0.01567668964504543,0.020380378028171463,-0.04422006,0.003721591,0.009360697,0.020953086,0.184995797,396,2.8178545120845526,12.768101456333373
pb,120294.0,2.419787412460239,4.090895985067917,-6.804610164,1.328522518,1.859901294,2.834823946,149.2926837,385,25.998540903205928,859.4264992462845
pe,120294.0,25.583297877965595,5572.850554501909,-222574.1862,32.39717493,55.72378057,97.86983274,72049.7505,385,-32.983797261183256,1367.6379739293602
lnst_yoy,119862.0,1.0737923059926833,11.291183159648671,-96.50492753,-0.264868953,0.134560024,0.663781696,328.4594688,817,22.255171214305626,649.4725877691172
nophaitra_vcsh,120343.0,3.13688519277014,4.017571177898195,0.003905054,0.714861542,1.440853762,3.082673108,20.07479297,336,1.9022322232554927,2.9017946646320163
vonhoa_tts,120294.0,0.8773462924869153,0.798589032459249,0.040038866,0.305944835,0.690888526,1.170014744,6.776833264,385,2.27947498497903,8.58550158503384
rsi,120679.0,52.126777021789074,17.668711951443235,0.0,39.31542898341745,52.05078125000001,64.94655152737094,100.0,0,0.0016320895430530246,-0.47717838764908205
macd,120679.0,130.4385691048487,1129.6170197532595,-12314.325540546852,-277.61847193554513,79.61022471629258,494.28571387823285,18404.37086375631,0,1.4886560865733076,23.792953410348535
macd_hist,120679.0,-1.9566268439197867,336.2803599559417,-4945.30900962653,-114.25585032955024,1.8906668214721094,115.10820198057283,6329.96874102814,0,-0.03975550789745092,19.461598091892277
bb_lower,120679.0,31503.29366476745,23526.48180121866,2774.1922738664043,14426.463768282054,23548.402896050662,42382.736553362774,191181.28932691054,0,1.6643798060681387,3.4253992325472584
volume_ratio,120679.0,1.0231013452013518,0.6052075610457378,0.0004867956675185591,0.6559082602496218,0.8980653899963464,1.2217362303436436,15.825125385219652,0,3.502562597263299,32.87716923543961
volatility_20d,120673.0,0.02237828666211827,0.010584321897104579,0.0007361795008640113,0.014468202545049443,0.020649779974654673,0.028623849551778654,0.09945296070396914,6,0.8354465659156002,0.911662777145057
hl_range_pct,120679.0,0.03172581889395377,0.020300390133410035,0.0,0.01740655016119839,0.02625,0.04072398190045249,0.24253075571177504,0,1.5500388849864442,3.5978527730679835
ret_1d,120679.0,0.0008400621928361984,0.024807393836573075,-0.1898907103825137,-0.010305700798593609,0.0,0.011703082376831042,0.23440134907251275,0,0.020850633957773586,2.1221850683341668
ret_3d,120679.0,0.0025999332070957984,0.04465457979837007,-0.2914828639294198,-0.018238207958463648,0.0014556040756914523,0.023439331340834535,0.40017667844522964,0,0.039330089723443984,3.3956806272641753
ret_5d,120679.0,0.004377140672776369,0.05797472083228037,-0.3819742489270386,-0.023569827917653996,0.002374732842555183,0.0319233838786912,0.5169014084507042,0,0.12216730940931013,3.5822052303116916
ret_10d,120679.0,0.00902642821869237,0.08372355830616836,-0.5111242954612875,-0.033062356401250104,0.0049261083743843415,0.049147820402315245,0.7211328976034859,0,0.3816640507257884,3.7367055442616444
sent_score_std,120679.0,0.11565377607046928,0.2776538705761304,0.0,0.0,0.0,0.0,1.2953406393062965,0,2.5568085354616574,5.620034462579995
sent_score_min,120679.0,-0.07300617811889441,0.5241205133424125,-0.8797988,-0.53502887,0.0,0.0,0.98058045,0,0.4582358241600297,-0.31431503212989176
sent_score_max,120679.0,0.027588548408033545,0.5354838651627678,-0.8797988,-0.225102985,0.0,0.0,0.98060995,0,0.36082638567121417,-0.5413582929817329
sent_score_mean_change,120679.0,0.005849001642953097,0.6634153157220908,-1.8457142100000001,-0.06552406424999996,0.0,0.07323952999999994,1.8431473299999999,0,0.008273717588805999,1.439144698239648
