,count,mean,std,min,25%,median,75%,max,missing,skew
close,50829.0,10.058603297388801,0.7372348979416913,7.549609165154532,9.54180006677385,10.032759888240268,10.610044420005991,12.34452938867719,0,0.009775981053539919
volume,50829.0,14.385533965344104,1.7329945392788615,0.6931471805599453,13.427346421207004,14.531837500015156,15.626974773881365,19.22143851136027,0,-0.8757775776354957
eps,50829.0,6.29653223466215,1.060754365583834,2.901361275780121,5.726663459597437,6.456391544065619,7.005101045573182,8.301772027317034,0,-0.8403275373144332
pb,50829.0,1.0856061676273687,0.3861650502561362,0.38422291036749223,0.8214080734695319,1.0287579462215823,1.300366095353471,2.289276653462139,0,0.8079409638140996
pe,50829.0,4.135561947483687,0.9323419872435124,2.525252056358258,3.503696800182207,4.012600668560213,4.565496163961866,7.486691292162292,0,1.1308907823107368
lnst_yoy,50829.0,0.30862046251541525,0.7382972935731339,-0.6848804974406156,-0.19643782759467288,0.1805042790445506,0.5724263063036701,3.131489925535651,0,1.5296975980191947
nophaitra_vcsh,50829.0,1.07916184408056,0.7322888356656109,0.10737672893312826,0.5530675705087528,0.8980477964180495,1.3615588709915407,2.9235512843447253,0,0.9553317928234878
vonhoa_tts,50829.0,0.5347032679663861,0.33050186122778674,0.0564166267283488,0.28097151468916726,0.501051796347175,0.7334844715504214,1.5405692003104847,0,0.695764516385442
profitability,50829.0,-9.898763441409461e-05,0.9872665302229414,-3.526631953125574,-0.7327978378818987,-0.13240638077988018,0.6078602792201673,7.40969083654935,0,0.6615457019245565
rsi_14,50829.0,52.68262428146711,18.235119449542058,0.0,39.34426229508197,52.952029520295206,66.12903225806451,100.0,0,-0.0515296641332449
volume_ratio,50829.0,0.6816815574985298,0.24735224680590848,0.20125247351261555,0.5090250580201108,0.648491626719865,0.8178530286703365,1.4767630144823627,0,0.7630581484070267
volatility_20d,50827.0,0.02557590631262078,0.010743711426073525,0.00205277749693114,0.017459951985994426,0.024155039973823962,0.03220735047465013,0.09945296070396914,2,0.7522036258762843
sma20_gap,50829.0,0.008001174991602031,0.07901927573009264,-0.5265044331258253,-0.030753419242627877,0.008165116806532093,0.04829083016820388,0.5086971955981541,0,0.02538078495064286
sma_cross,50829.0,0.018799271480116914,0.10728318333308663,-0.6094908709660921,-0.034995128288405376,0.01879835589941973,0.07502146582768382,0.6553642138021527,0,0.017359964754155185
ret_5d_rank,50829.0,0.5190825629017213,0.2972798182428636,0.01,0.26,0.5252525252525253,0.7849462365591398,1.0,0,-0.052286758679231146
momentum_vol,50827.0,0.00017244524458461582,0.002441974872598969,-0.028071347065771968,-0.00061488583019813,7.094446878004725e-05,0.0009482776332833393,0.034439541162505215,2,0.5636162892220787
ret_3d,50829.0,0.003295739475090184,0.052615672457742034,-0.2914828639294198,-0.022022966808242894,0.002517026946994294,0.02917771883289122,0.3998441153546375,0,0.02737454716714723
momentum_sent,50829.0,-0.0003321082640421697,0.021836324982263317,-0.24241915920799698,-0.0030941910748752046,0.0,0.002470021931793191,0.3083113569117647,0,0.09812659953586238
volume_sent,50829.0,-0.024274873385875584,0.27378957837070705,-1.22793002667851,-0.1581213106380311,0.0,0.04442733817883294,1.4404361801596317,0,0.3849840812871318
sent_score_roll,50829.0,-0.034865612835774336,0.37727438596484153,-0.8765493,-0.26734071,0.0,0.07267406599999998,0.9803555,0,0.3869131696624529
sent_shock,50829.0,0.0005619078169312795,0.3790344641035992,-1.467666852,-0.12449143699999993,0.0,0.11192733019999998,1.479614924,0,0.09441813251392069
news_dummy,50829.0,0.16943083672706527,0.3751357046790554,0.0,0.0,0.0,0.0,1.0,0,1.7624671113417472
