,count,mean,std,min,25%,median,75%,max,missing,value_counts
target,50829.0,0.5099057624584391,0.4999067837991749,0.0,0.0,1.0,1.0,1.0,0,"{0: 24911, 1: 25918}"
future_return,50829.0,0.009249151966970522,0.08809754427396457,-0.3819742489270386,-0.054973821989528826,0.04326923076923084,0.07202680067001666,0.5169014084507042,0,
