,count,mean,std,min,25%,median,75%,max,missing,value_counts
target,56712.0,0.5,0.5000044082964139,0.0,0.0,0.5,1.0,1.0,0,"{0: 28356, 1: 28356}"
future_return,56712.0,0.007197498448306449,0.09016807071263257,-0.3819742489270386,-0.056991865757437365,0.0058740005514199,0.07173409390306551,0.9497206703910615,0,
